"location","population","highestinfectioncount","percentpopulationinfected"
"Andorra","77265","13232","17.125"
"Montenegro","628062","97389","15.506"
"Czechia","10708982","1630758","15.228"
"San Marino","33938","5066","14.927"
"Slovenia","2078932","240292","11.558"
"Luxembourg","625976","67205","10.736"
"Bahrain","1701583","176934","10.398"
"Serbia","6804596","689557","10.134"
"United States","331002647","32346971","9.772"
"Israel","8655541","838481","9.687"
"Sweden","10099270","973604","9.640"
"Estonia","1326539","122019","9.198"
"Lithuania","2722291","247269","9.083"
"Netherlands","17134873","1522973","8.888"
"Belgium","11589616","990229","8.544"
"Panama","4314768","364576","8.449"
"France","68147687","5677835","8.332"
"Portugal","10196707","836493","8.204"
"Croatia","4105268","332183","8.092"
"Hungary","9660350","779348","8.067"
"Georgia","3989175","310310","7.779"
"Lebanon","6825442","526578","7.715"
"Liechtenstein","38137","2926","7.672"
"Switzerland","8654618","659974","7.626"
"Spain","46754783","3524077","7.537"
"Cyprus","875899","65233","7.448"
"Poland","37846605","2792142","7.378"
"North Macedonia","2083380","152367","7.313"
"Armenia","2963234","216064","7.291"
"Qatar","2881060","205652","7.138"
"Slovakia","5459643","382211","7.001"
"Jordan","10203140","711373","6.972"
"European Union","444919060","30771214","6.916"
"Brazil","212559409","14659011","6.896"
"Austria","9006400","618870","6.871"
"Malta","441539","30292","6.861"
"Italy","60461828","4022653","6.653"
"Argentina","45195777","2977363","6.588"
"United Kingdom","67886004","4432246","6.529"
"Kuwait","4270563","273991","6.416"
"North America","592072204","37529488","6.339"
"Latvia","1886202","118558","6.286"
"Chile","19116209","1198245","6.268"
"Monaco","39244","2454","6.253"
"Moldova","4033963","250837","6.218"
"Bosnia and Herzegovina","3280815","198461","6.049"
"Europe","748680069","44863478","5.992"
"Seychelles","98340","5873","5.972"
"Bulgaria","6948445","404380","5.820"
"Palestine","5101416","296462","5.811"
"South America","430759772","24878216","5.775"
"Turkey","84339067","4820591","5.716"
"Uruguay","3473727","198428","5.712"
"Colombia","50882884","2859724","5.620"
"Maldives","540542","29835","5.519"
"Romania","19237682","1055265","5.485"
"Peru","32971846","1799445","5.458"
"Kosovo","1932774","103638","5.362"
"United Arab Emirates","9890400","520236","5.260"
"Ireland","4937796","248870","5.040"
"Costa Rica","5094114","250991","4.927"
"Ukraine","43733759","2124070","4.857"
"Albania","2877800","131085","4.555"
"Denmark","5792203","251249","4.338"
"Cape Verde","555988","23882","4.295"
"Germany","83783945","3405365","4.064"
"Paraguay","7132530","279077","3.913"
"Belarus","9449321","358738","3.796"
"Oman","5106622","193253","3.784"
"Vatican","809","27","3.337"
"Greece","10423056","345033","3.310"
"Canada","37742157","1228367","3.255"
"Russia","145934460","4750755","3.255"
"Belize","397621","12668","3.186"
"Azerbaijan","10139175","319109","3.147"
"Iran","83992953","2499077","2.975"
"South Africa","59308690","1581210","2.666"
"Bahamas","393248","10453","2.658"
"Iraq","40222503","1065199","2.648"
"Tunisia","11818618","309119","2.616"
"Bolivia","11673029","303732","2.602"
"Libya","6871287","177508","2.583"
"Saint Lucia","183629","4552","2.479"
"Dominican Republic","10847904","266561","2.457"
"Ecuador","17643060","381862","2.164"
"Honduras","9904608","212333","2.144"
"Norway","5421242","112970","2.084"
"Kazakhstan","18776707","375539","2.000"
"Botswana","2351625","46934","1.996"
"World","7794798729","151399480","1.942"
"Namibia","2540916","48351","1.903"
"Iceland","341250","6472","1.897"
"Mexico","128932753","2344755","1.819"
"Suriname","586634","10363","1.767"
"Guyana","786559","13283","1.689"
"Saint Vincent and the Grenadines","110947","1864","1.680"
"Eswatini","1160164","18458","1.591"
"Finland","5540718","86808","1.567"
"Jamaica","2961161","45578","1.539"
"Kyrgyzstan","6524191","95275","1.460"
"India","1380004385","19164969","1.389"
"Morocco","36910558","511249","1.385"
"Barbados","287371","3855","1.341"
"Guatemala","17915567","227671","1.271"
"Malaysia","32365998","408713","1.263"
"Antigua and Barbuda","97928","1232","1.258"
"Saudi Arabia","34813867","417363","1.199"
"Mongolia","3278292","37285","1.137"
"Djibouti","988002","11100","1.123"
"Nepal","29136808","323187","1.109"
"El Salvador","6486201","69198","1.067"
"Sao Tome and Principe","219161","2302","1.050"
"Singapore","5850343","61145","1.045"
"Gabon","2225728","23075","1.037"
"Philippines","109581085","1037460","0.947"
"Cuba","11326616","106707","0.942"
"Asia","4639847425","39526308","0.852"
"Trinidad and Tobago","1399491","10824","0.773"
"Venezuela","28435943","197683","0.695"
"Indonesia","273523621","1668368","0.610"
"Equatorial Guinea","1402985","7694","0.548"
"Sri Lanka","21413250","108146","0.505"
"Lesotho","2142252","10731","0.501"
"Zambia","18383956","91586","0.498"
"Japan","126476458","593264","0.469"
"Bangladesh","164689383","759132","0.461"
"Comoros","869595","3834","0.441"
"Mauritania","4649660","18402","0.396"
"Pakistan","220892331","825519","0.374"
"Africa","1340598113","4557699","0.340"
"Ghana","31072945","92562","0.298"
"Kenya","53771300","159318","0.296"
"Algeria","43851043","122108","0.278"
"Cameroon","26545864","72250","0.272"
"Uzbekistan","33469199","90808","0.271"
"Myanmar","54409794","142817","0.262"
"Zimbabwe","14862927","38257","0.257"
"Gambia","2416664","5898","0.244"
"Dominica","71991","174","0.242"
"Senegal","16743930","40344","0.241"
"South Korea","51269183","122634","0.239"
"Ethiopia","114963583","257442","0.224"
"Mozambique","31255435","69917","0.224"
"Egypt","102334403","227552","0.222"
"Rwanda","12952209","25116","0.194"
"Congo","5518092","10678","0.194"
"Guinea-Bissau","1967998","3734","0.190"
"Malawi","19129955","34078","0.178"
"Cote d'Ivoire","26378275","46036","0.175"
"Timor","1318442","2276","0.173"
"Guinea","13132792","22215","0.169"
"Togo","8278737","12967","0.157"
"Afghanistan","38928341","59745","0.153"
"Grenada","112519","160","0.142"
"Tajikistan","9537642","13308","0.140"
"Bhutan","771612","1074","0.139"
"Madagascar","27691019","37014","0.134"
"Central African Republic","4829764","6411","0.133"
"Syria","17500657","22733","0.130"
"Papua New Guinea","8947027","10997","0.123"
"Australia","25499881","29811","0.117"
"Haiti","11402533","13056","0.115"
"Eritrea","3546427","3671","0.104"
"Nicaragua","6624554","6898","0.104"
"Oceania","42677809","43570","0.102"
"South Sudan","11193729","10583","0.095"
"Mauritius","1271767","1209","0.095"
"Thailand","69799978","65153","0.093"
"Uganda","45741000","41866","0.092"
"Somalia","15893219","13915","0.088"
"Saint Kitts and Nevis","53192","44","0.083"
"Angola","32866268","26652","0.081"
"Nigeria","206139587","165110","0.080"
"Cambodia","16718971","13402","0.080"
"Sudan","43849269","33944","0.077"
"Mali","20250834","13858","0.068"
"Benin","12123198","7821","0.065"
"Burkina Faso","20903278","13310","0.064"
"New Zealand","4822233","2613","0.054"
"Brunei","437483","224","0.051"
"Sierra Leone","7976985","4054","0.051"
"Liberia","5057677","2099","0.042"
"Burundi","11890781","3995","0.034"
"Democratic Republic of Congo","89561404","29853","0.033"
"Chad","16425859","4817","0.029"
"Niger","24206636","5228","0.022"
"Yemen","29825968","6317","0.021"
"Fiji","896444","117","0.013"
"Laos","7275556","757","0.010"
"Marshall Islands","59194","4","0.007"
"China","1439323774","102494","0.007"
"Taiwan","23816775","1128","0.005"
"Solomon Islands","686878","20","0.003"
"Vietnam","97338583","2928","0.003"
"Samoa","198410","3","0.002"
"Tanzania","59734213","509","0.001"
"Micronesia (country)","115021","1","0.001"
"Vanuatu","307150","4","0.001"
"Falkland Islands","3483",NULL,NULL
"Turks and Caicos Islands","38718",NULL,NULL
"Curacao","164100",NULL,NULL
"Anguilla","15002",NULL,NULL
"Cayman Islands","65720",NULL,NULL
"Jersey","101073",NULL,NULL
"Macao","649342",NULL,NULL
"Isle of Man","85032",NULL,NULL
"Montserrat","4999",NULL,NULL
"Tonga","105697",NULL,NULL
"Aruba","106766",NULL,NULL
"Hong Kong","7496988",NULL,NULL
"Faeroe Islands","48865",NULL,NULL
"Nauru","10834",NULL,NULL
"Greenland","56772",NULL,NULL
"International",NULL,"721",NULL
"Saint Helena","6071",NULL,NULL
"Northern Cyprus",NULL,NULL,NULL
"Gibraltar","33691",NULL,NULL
"Guernsey","67052",NULL,NULL
"Bermuda","62273",NULL,NULL
